"시점",서울교통공사,서울메트로 9호선㈜,서울교통공사9호선운영부문,우이 신설경전철㈜
"시점",영업비용,영업비용,영업비용,영업비용
"시점",경비,경비,경비,경비
"2017",11981,1244,115,131
"2018",12439,1233,140,311
"2019",12768,1071,217,292
"2020",12946,897,229,270
"2021",13409,914,273,279
