"시점",서울교통공사,서울메트로 9호선㈜,서울교통공사9호선운영부문,우이 신설경전철㈜
"시점",영업비용,영업비용,영업비용,영업비용
"시점",인건비,인건비,인건비,인건비
"2017",12911,16,71,7
"2018",12748,17,86,11
"2019",12602,212,102,10
"2020",13551,378,118,10
"2021",12267,404,134,10
